Ch1 Amplitude,Ch2 Amplitude,Cluster
925.8527,871.225952,1
1007.78516,1296.199,1
1011.81348,1084.831,1
1032.271,1163.05139,1
1039.30127,1115.73169,1
1044.48389,1053.62634,1
1046.2356,1025.37756,1
1053.11267,1045.46753,1
1054.76013,883.545044,1
1061.05713,1106.241,1
1068.58936,1059.22876,1
1069.14783,1228.03467,1
1071.26489,844.2611,1
1075.89551,1117.27637,1
1085.74011,1069.91943,1
1086.49,1090.07,1
1088.88,1204.42065,1
1090.376,1072.66785,1
1091.6427,1073.10181,1
1092.696,1065.55554,1
1098.54993,1058.20776,1
1100.15088,1029.24792,1
1104.26758,1037.22375,1
1104.28491,1102.92725,1
1104.44727,1088.30859,1
1104.6582,1205.90735,1
1108.03857,1218.99585,1
1111.32532,1131.341,1
1113.41724,993.481445,1
1114.37988,1029.97217,1
1115.57043,958.04364,1
1116.02454,1187.882,1
1118.40894,974.6102,1
1120.21765,1131.9563,1
1123.54761,1046.03357,1
1123.70874,1180.76147,1
1124.39124,1081.898,1
1124.7301,1035.41858,1
1128.03,1113.5354,1
1128.07385,1031.7229,1
1130.9176,1050.43738,1
1133.23633,1120.00989,1
1134.77319,1232.37036,1
1134.885,1114.50842,1
1135.50867,1108.7677,1
1136.37878,1238.41907,1
1137.074,1213.64624,1
1137.36584,1092.27246,1
1138.06567,1155.26648,1
1139.96277,1044.29846,1
1140.59778,1264.06213,1
1141.33435,1106.57324,1
1143.7627,1149.52673,1
1144.42529,1227.49756,1
1146.1759,1144.62134,1
1146.4292,1023.44348,1
1146.51892,1091.66187,1
1146.90381,1118.68713,1
1146.931,1000.24982,1
1147.94421,1060.95923,1
1148.05872,1184.779,1
1152.91077,1024.79077,1
1153.04675,1215.27039,1
1154.11011,1026.4707,1
1155.13318,1184.58459,1
1160.22864,1102.72327,1
1160.75208,1204.9436,1
1162.85461,1094.369,1
1163.62939,1363.47815,4
1164.33582,1109.17346,1
1164.34082,1239.15051,1
1164.85034,1275.123,1
1164.92688,1152.091,1
1165.269,1117.38318,1
1165.62109,1219.43091,1
1165.645,1176.31689,1
1167.85889,1144.36108,1
1167.8689,1090.447,1
1167.88245,1219.9231,1
1168.16846,1155.53955,1
1168.22717,1167.56042,1
1168.514,1218.97144,1
1169.42432,1093.99036,1
1169.55139,1056.24048,1
1169.70422,1235.08923,1
1169.72546,1212.21411,1
1170.43884,1248.41125,1
1170.79138,1251.14185,1
1171.1665,1177.73242,1
1171.939,1214.42627,1
1172.85437,1243.09619,1
1172.8772,1251.78235,1
1172.9375,1154.31482,1
1174.48572,1128.55322,1
1174.51172,1170.65344,1
1175.05127,1048.91235,1
1175.11377,1322.86414,1
1175.13672,1187.15845,1
1175.83447,1249.07507,1
1175.8822,1126.22156,1
1175.92126,1293.08252,1
1175.95508,1128.259,1
1175.9967,1050.61987,1
1176.44153,1269.80432,1
1176.97961,1147.628,1
1177.30994,1148.04724,1
1177.37024,1134.86426,1
1177.42017,1246.72742,1
1178.63806,1267.46509,1
1178.88257,1214.65466,1
1179.09338,1205.50989,1
1179.531,1304.47131,1
1179.74963,1161.36462,1
1179.93665,1239.94458,1
1179.93982,1234.37842,1
1179.99792,1228.25793,1
1180.37781,1203.119,1
1180.58313,1099.76245,1
1180.60352,1258.86792,1
1181.02563,1163.74243,1
1181.20374,1269.10193,1
1181.20654,1222.61194,1
1182.24658,1306.15845,1
1182.30408,1235.73657,1
1182.36523,1255.1145,1
1182.39954,1267.11133,1
1182.44226,1165.77515,1
1182.66333,1160.47217,1
1182.66907,1203.42712,1
1182.843,1206.977,1
1183.298,1186.50378,1
1183.53223,1066.288,1
1183.89441,1094.03284,1
1184.06458,1291.42993,1
1184.09143,1285.6731,1
1184.50586,1148.11792,1
1184.74207,1281.33167,1
1184.786,1185.74243,1
1185.10266,1107.15515,1
1186.08643,1271.21423,1
1186.32825,1196.13086,1
1186.35107,1154.807,1
1186.54492,1165.39087,1
1187.04346,1227.282,1
1187.10107,1119.96655,1
1187.29456,1125.9115,1
1187.42981,1307.06812,1
1188.02966,1207.65466,1
1188.40991,1071.32373,1
1188.52576,1145.7948,1
1188.62537,1263.531,1
1188.81519,1188.21851,1
1188.84045,1235.76855,1
1188.95752,1168.04431,1
1188.97778,1230.79333,1
1189.06885,1178.89343,1
1189.32349,1138.01929,1
1189.74731,1200.04993,1
1190.07715,1220.38745,1
1190.2666,1262.39282,1
1190.334,1294.43335,1
1190.749,1274.71912,1
1191.36755,1174.1604,1
1191.68384,1047.22412,1
1191.713,1278.03809,1
