Ch1 Amplitude,Ch2 Amplitude,Cluster
950.3286,955.208252,1
993.5888,1100.22058,1
1025.75061,1086.60083,1
1026.88611,998.050964,1
1054.96228,1061.98547,1
1055.26111,1050.54468,1
1055.72607,1096.61292,1
1056.29541,952.9913,1
1057.05994,1019.11487,1
1061.28833,1029.66687,1
1062.5249,1083.59229,1
1065.64807,1035.65442,1
1076.00208,1035.91113,1
1077.8385,1055.18079,1
1077.87842,1084.8302,1
1077.95166,1008.80908,1
1082.87268,1095.77039,1
1091.14551,1123.76843,1
1095.92737,1084.32715,1
1097.046,1071.50513,1
1099.47278,1249.68469,1
1102.43848,1063.27429,1
1104.45508,1062.19,1
1105.73914,1088.51331,1
1107.11182,1081.41077,1
1110.36523,997.449646,1
1111.88635,1040.901,1
1112.51111,1045.94507,1
1114.96619,1119.61829,1
1117.03259,1011.95013,1
1117.76733,1097.08582,1
1117.808,1150.4823,1
1119.12134,1104.9718,1
1120.03491,1051.28845,1
1120.63879,1229.696,1
1120.92114,1025.87427,1
1122.42285,1076.07288,1
1122.85437,1062.37573,1
1124.72632,1127.2384,1
1124.81848,1071.58838,1
1125.152,1100.00452,1
1127.77087,997.9649,1
1127.92712,1184.13684,1
1128.757,1106.59436,1
1129.40222,1168.7168,1
1129.51318,1186.62744,1
1129.79736,1241.8551,1
1131.75684,1155.45374,1
1131.893,1184.39673,1
1132.15771,1164.56812,1
1133.10168,1013.90027,1
1133.41357,1260.455,1
1133.61719,1248.65344,1
1134.29736,1199.70532,1
1134.36084,1026.57166,1
1134.59045,1091.02954,1
1135.45825,1021.72919,1
1136.01111,1173.12659,1
1137.08838,1140.8147,1
1137.575,864.3957,1
1137.69568,1091.92529,1
1137.92981,1149.47058,1
1138.42944,1078.06,1
1138.44568,1267.43567,1
1138.64,1265.34839,1
1138.65234,1313.1748,1
1139.4502,1044.30981,1
1139.58252,1118.42615,1
1139.684,1210.05493,1
1140.10474,1125.634,1
1140.90955,1081.36243,1
1140.9895,1202.332,1
1141.08838,993.989136,1
1141.10034,1205.22791,1
1142.15942,1137.35962,1
1142.29907,1082.54736,1
1142.41736,1093.89917,1
1142.44153,1111.69727,1
1142.48145,1202.32153,1
1142.957,1015.14746,1
1144.97534,1136.78247,1
1145.01868,1175.30627,1
1145.11462,1069.84448,1
1145.27783,1101.09814,1
1145.63611,1253.26831,1
1145.7467,1256.42786,1
1146.45911,1181.6,1
1147.0542,1026.49622,1
1147.2644,1191.9917,1
1147.87109,1087.62109,1
1147.89026,1105.542,1
1148.12524,1176.14148,1
1148.48328,988.6974,1
1148.4978,1056.60815,1
1148.63025,1126.73218,1
1148.65344,1236.33,1
1148.76025,1108.94336,1
1148.84937,1121.52454,1
1149.08093,1129.23572,1
1149.08167,1235.22668,1
1149.144,1234.73352,1
1149.18774,1253.12683,1
1149.78223,1040.03162,1
1150.16882,1114.58594,1
1150.69067,1130.27209,1
1150.81543,1104.20642,1
1151.32239,1229.44275,1
1151.43713,1177.55188,1
1151.68384,1215.89478,1
1151.81848,1145.74475,1
1152.042,1146.88245,1
1152.84253,1199.19482,1
1153.6571,1273.08643,1
1153.75256,1205.5531,1
1154.14331,1287.901,1
1154.891,1275.43982,1
1154.913,1156.1488,1
1155.08215,1266.34924,1
1155.52869,1066.69727,1
1156.12134,1261.17993,1
1156.197,1227.22839,1
1156.35876,1155.50891,1
1156.58228,1313.52466,1
1156.92969,1236.47913,1
1157.15173,1292.25317,1
1157.15845,1086.09924,1
1157.506,1123.11987,1
1157.87439,1230.262,1
1158.02454,1044.37415,1
1158.21057,1294.69873,1
1158.924,1165.08777,1
1159.08008,1221.93762,1
1159.2063,1243.11926,1
1159.38428,1246.29126,1
1160.6355,1173.6676,1
1161.08618,1226.95911,1
1162.21521,1060.57678,1
1162.91772,1055.66248,1
1162.97949,1134.09375,1
1163.07422,1092.28918,1
1163.29956,1056.7345,1
1163.62842,1139.61926,1
1163.72375,1288.35229,1
1163.77722,1246.33167,1
1163.79932,1194.40759,1
1164.13257,1248.29309,1
1164.23047,1204.79736,1
1164.55115,1167.95044,1
1165.43787,1003.68463,1
1165.54272,1289.7146,1
1165.99023,1334.68945,1
1166.22888,1258.902,1
1166.46216,1234.69263,1
1166.59485,1077.97876,1
1166.7157,1206.72546,1
1166.78564,1139.53979,1
1166.79138,1178.22742,1
1167.08289,1197.326,1
1167.083,1128.55164,1
1167.10535,1120.82361,1
1167.16089,1130.62427,1
1167.29651,995.853638,1
1167.31592,1233.11389,1
1167.4845,1224.3573,1
1167.64636,1061.329,1
1167.68567,1212.94226,1
1167.823,1218.2666,1
1168.05518,1230.48828,1
1168.25513,1182.59937,1
1168.46985,1179.60742,1
1168.71484,1205.32532,1
1168.89209,1177.29053,1
1168.971,1201.8407,1
1169.00244,1194.74146,1
1169.00574,1053.47644,1
1169.17981,1198.55481,1
1169.28931,1129.311,1
1169.39172,1156.46313,1
1169.9906,1214.99951,1
1169.99963,1213.23779,1
1170.09631,1212.58557,1
1170.23621,1219.31934,1
1170.38977,1003.47455,1
1170.45959,1236.294,1
1170.51746,1205.99561,1
1170.574,1216.56592,1
1170.85486,1135.3385,1
1170.95557,1056.139,1
1171.43359,1248.397,1
1171.4939,1176.319,1
1171.54492,1157.61633,1
1171.61816,1303.45349,1
1171.80176,1186.584,1
1171.9115,966.706055,1
1172.20923,1195.78467,1
1172.28748,1145.19873,1
1172.29578,1229.59619,1
1172.31238,1167.05249,1
1172.46973,1168.66736,1
1173.03345,1213.81555,1
1173.0863,1200.60645,1
1173.10364,1289.50525,1
1173.27258,1295.42175,1
1173.32922,1010.90662,1
1173.40918,1199.92981,1
1173.4314,1174.81091,1
1173.49438,1164.90967,1
1173.49768,1269.42566,1
1173.55188,1250.29919,1
1173.98474,1183.88843,1
1174.25525,1214.06787,1
1174.34839,1203.4292,1
1174.433,1144.56458,1
1174.55261,1089.95544,1
1174.62585,1134.73169,1
1174.74255,1255.69629,1
1174.76245,1172.91821,1
1174.76416,1202.58533,1
1174.81885,1212.3938,1
1174.86841,1133.64075,1
1174.9054,1073.51575,1
1174.985,1070.68726,1
1174.99915,1194.28821,1
1175.18225,1122.08508,1
1175.50964,1292.32837,1
1175.55566,1284.153,1
1175.63684,1150.23047,1
1175.77209,1080.182,1
1175.80981,1217.53235,1
1175.86145,1182.7821,1
1175.99878,1253.39319,1
1176.11426,1252.569,1
1176.31311,1181.379,1
1176.43518,1241.80981,1
1176.57532,1080.08789,1
1176.63208,1223.41187,1
1176.97864,1260.84753,1
1177.156,1139.30188,1
1177.19983,1232.50012,1
1177.30237,1247.70483,1
1177.3916,1176.769,1
1177.4668,1224.29785,1
1177.504,1217.51965,1
1177.60608,1230.7262,1
1177.702,1205.85388,1
1177.90039,1295.59827,1
1177.96423,1183.5321,1
1178.02087,1122.32874,1
1178.05225,1089.82947,1
1178.056,1240.14331,1
1178.28186,1156.209,1
1178.39331,1214.37732,1
1178.46777,1230.52637,1
1178.61829,1201.46484,1
1178.63123,1231.44824,1
1178.79639,1171.29333,1
1178.80859,1147.03918,1
1178.88525,1219.92163,1
1179.00623,1024.224,1
1179.2771,1165.04126,1
1179.2998,1179.54907,1
1179.32617,1232.69409,1
1179.37634,1151.82263,1
1179.65991,1204.81824,1
1179.76074,1236.65979,1
1179.8479,1077.89148,1
1179.8689,1179.00659,1
1180.15051,1255.72729,1
1180.773,1288.49414,1
1180.89551,1205.56836,1
1181.08862,1117.85645,1
1181.212,1132.71912,1
1181.45,1191.31189,1
1181.48914,1201.38342,1
1181.51221,1253.53345,1
1181.65015,1177.822,1
1181.71985,1236.71423,1
1181.79321,1186.40552,1
1181.86829,1197.85608,1
1181.88855,1193.20032,1
1181.92334,1196.11133,1
1182.04077,1186.35449,1
1182.3916,1060.37158,1
1182.39636,1251.933,1
1182.73511,1236.32935,1
1182.74,1103.84314,1
1182.75378,1187.4375,1
1182.75842,1147.68787,1
1182.79749,1109.56775,1
1182.90955,1201.11731,1
1182.9176,1145.51587,1
1182.928,1176.036,1
1182.93909,1190.30286,1
1182.95569,1152.47729,1
1183.0343,1215.98474,1
1183.12317,1229.39575,1
1183.25732,1237.44836,1
1183.34924,1313.17114,1
1183.528,1155.06067,1
