Ch1 Amplitude,Ch2 Amplitude,Cluster
804.565735,805.1951,1
907.5033,753.620361,1
941.945251,1201.00854,1
1001.6441,1049.36938,1
1003.64014,1056.48572,1
1006.92291,1211.10181,1
1016.07343,1005.98016,1
1030.9259,1130.50146,1
1031.67822,1142.21643,1
1032.09961,1022.63184,1
1039.33777,1043.0863,1
1044.64661,1073.91943,1
1045.22668,990.634949,1
1048.43738,1156.71277,1
1048.64966,1137.2113,1
1050.11487,1004.8114,1
1050.82874,934.813965,1
1052.56482,1300.33264,1
1055.46082,996.4676,1
1060.99646,1071.26624,1
1063.11926,1077.4613,1
1063.85583,1120.56238,1
1063.90613,1094.53088,1
1063.92932,1192.18774,1
1065.52673,1061.74915,1
1066.11035,920.7362,1
1066.86951,1045.09509,1
1067.27356,987.4044,1
1068.95007,1243.69092,1
1072.45056,1319.27869,1
1076.53674,1062.02246,1
1076.95007,1207.51392,1
1077.28833,1285.71216,1
1077.98962,1214.7998,1
1078.19324,1189.32178,1
1078.41333,1059.446,1
1080.76428,1084.22864,1
1080.85327,1098.82886,1
1081.13806,1186.832,1
1083.19421,1218.47632,1
1083.74683,1161.141,1
1084.03137,1258.90613,1
1086.24329,1054.76648,1
1087.60608,1132.41235,1
1087.92957,1101.77319,1
1088.49316,1111.61938,1
1088.94312,1084.47473,1
1089.92114,1034.64673,1
1090.22693,1248.38733,1
1090.79883,1223.60791,1
1092.5177,1289.81763,1
1092.74841,1090.58533,1
1093.21582,1318.35242,1
1093.46216,1279.79834,1
1094.4231,1158.35254,1
1094.8595,1075.27087,1
1095.00769,1160.25354,1
1096.41992,1092.86084,1
1096.5415,1117.55029,1
1097.15613,1040.09851,1
1098.17456,991.836731,1
1098.57446,1246.75012,1
1098.67883,1256.3197,1
1099.04614,1058.65735,1
1099.26892,1222.71155,1
1101.55554,1284.82239,1
1101.77783,1207.2854,1
1102.26013,1244.8573,1
1102.8324,1187.47021,1
1103.479,1262.5675,1
1104.13977,1248.42664,1
1105.11768,1309.45374,1
1105.35852,1340.667,1
1105.48779,1205.597,1
1105.647,1218.8645,1
1106.03516,1308.43262,1
1106.18628,1250.50928,1
1107.30139,1128.9397,1
1107.50378,1229.2312,1
1107.60632,1266.86047,1
1108.9823,1077.0144,1
1109.90173,1208.84753,1
1110.082,1248.592,1
1110.73975,1227.38123,1
1110.89551,1204.90784,1
1111.4624,1188.70154,1
1111.83435,1150.39319,1
1113.09521,1110.255,1
1113.74634,1072.29968,1
1114.74927,1286.52234,1
1115.1449,1279.95215,1
1115.25085,1243.64148,1
1115.41309,1192.63184,1
1115.83167,1197.22424,1
1116.06091,1212.54724,1
1116.16016,1252.41321,1
1116.18652,1186.95557,1
1116.45874,1235.70056,1
1116.86511,1085.05713,1
1116.89685,1161.70264,1
1117.38208,1125.07056,1
1117.79065,1254.932,1
1117.8551,1133.77136,1
1117.87158,1218.46484,1
1117.94885,1067.38,1
1118.01563,1193.98364,1
1118.73047,1191.03967,1
1119.26013,1112.816,1
1119.27917,1272.6344,1
1119.31421,1294.18127,1
1119.40735,1102.57813,1
1119.506,1278.81519,1
1120.15808,1276.86658,1
1120.71558,1061.83228,1
