Ch1 Amplitude,Ch2 Amplitude,Cluster
948.2876,1153.75366,1
951.7188,2876.09326,4
977.737,970.443542,1
979.052368,1161.50427,1
982.5508,3095.78857,4
996.201355,1081.92358,1
1005.97418,1108.417,1
1009.33612,3091.25586,4
1010.41736,1193.21338,1
1014.59271,3001.427,4
1015.87976,3092.672,4
1017.09021,1171.77234,1
1017.59052,1336.94739,1
1022.55176,1148.91223,1
1025.40222,1107.65344,1
1025.773,1184.425,1
1026.41138,1132.01038,1
1026.61121,1153.297,1
1026.89514,1143.57568,1
1029.507,3257.19946,4
1033.24927,2882.55,4
1033.32117,2889.60083,4
1033.49512,1236.60193,1
1034.82336,3141.06177,4
1036.19153,3102.41162,4
1036.62744,1221.4325,1
1038.69336,1141.99109,1
1039.36292,3179.85156,4
1040.13086,1236.693,1
1040.81641,1024.53589,1
1041.60925,1238.31433,1
1042.20764,1150.76416,1
1042.54468,1054.25635,1
1042.82764,3043.26953,4
1043.4906,1173.7406,1
1044.216,2977.29858,4
1044.21667,1236.90027,1
1044.8009,1302.1593,1
1045.12268,1103.036,1
1045.23987,1258.56958,1
1045.86755,1215.08691,1
1046.85559,1274.67871,1
1047.06323,1277.667,1
1048.20337,1195.27515,1
1051.67493,3027.50317,4
1051.92261,1274.16968,1
1052.12244,1294.98584,1
1053.53333,1105.442,1
1053.75671,1171.68164,1
1053.87317,1141.86084,1
1054.16833,1108.74792,1
1054.36023,3065.941,4
1055.09119,1264.37817,1
1057.3573,2997.72583,4
1057.77881,1177.08618,1
1058.24939,3121.09082,4
1058.27173,1166.84045,1
1058.76465,2973.6355,4
1059.12854,1235.28625,1
1059.46521,1110.593,1
1059.76233,1179.63245,1
1059.84546,1254.54517,1
1060.08582,1124.95984,1
1060.2594,3015.60986,4
1060.87634,1210.16565,1
1061.82654,1317.38721,1
1062.28357,1151.15674,1
1062.63123,1263.03088,1
1062.71057,1135.3324,1
1063.0072,1250.91406,1
1063.38879,3145.07056,4
1063.40759,3118.14868,4
1063.46179,1208.51135,1
1064.36353,1183.94531,1
1064.895,1245.33276,1
1064.94922,1211.03284,1
1065.31177,1089.55566,1
1066.685,1153.96033,1
1066.88037,1233.8241,1
1066.91125,1166.8053,1
1067.08069,1283.762,1
1067.13354,1230.81665,1
1067.23853,1230.21057,1
1067.27,1143.06641,1
1067.69507,1218.60046,1
1067.72278,1157.68713,1
1067.982,1148.48145,1
1068.62317,3071.87329,4
1068.796,3062.757,4
1069.15588,1218.86292,1
1069.48218,2910.28857,4
1069.8457,3133.46924,4
1070.01721,1215.36829,1
1070.25085,1265.49988,1
1070.2926,1198.50317,1
1070.44653,1121.59924,1
1070.53247,1250.52283,1
1070.95935,1282.26331,1
1070.97278,1217.78149,1
1071.02173,1236.577,1
1071.03857,2935.78345,4
1071.1311,1879.73425,4
1071.14392,2852.41235,4
1071.41846,1180.67871,1
1071.60107,1242.49683,1
1072.19226,1240.93689,1
1073.40466,1179.288,1
1073.44031,1274.21777,1
1073.88,1189.4502,1
1074.23779,1122.202,1
1074.3147,1171.127,1
1074.341,2982.87769,4
1074.68018,1208.64563,1
1074.76025,1166.99658,1
1074.78235,1209.03174,1
1075.16284,3031.562,4
1075.27222,1101.77466,1
1075.37061,1187.35791,1
1075.53857,1232.58838,1
1075.72815,1287.88037,1
1076.12976,1187.09546,1
1076.19421,1246.852,1
1076.19763,1224.812,1
1076.60229,1224.16125,1
1076.95764,1271.14941,1
1077.78821,1180.422,1
1078.215,3025.64,4
1078.44043,2948.04272,4
1078.83813,1194.36621,1
1079.23291,2983.96338,4
1079.31091,1124.423,1
1079.32434,1262.80408,1
1079.48535,1160.39417,1
1079.654,3132.84351,4
1079.72241,1164.42749,1
1079.76978,2413.70337,4
1079.81665,2968.67944,4
1080.08435,1234.17041,1
1080.14844,3145.6958,4
1080.20313,1206.12354,1
1080.38672,1147.29089,1
1080.42627,1214.94531,1
1080.52869,3123.10156,4
1080.73962,1187.22571,1
1080.74744,1215.101,1
1081.099,1178.82092,1
1081.449,1067.86011,1
1081.45288,3105.967,4
1081.62866,1107.16858,1
1081.75964,1141.13086,1
1081.80725,2981.17847,4
