Ch1 Amplitude,Ch2 Amplitude,Cluster
786.9409,655.2899,1
835.2285,4052.129,4
839.677856,4448.214,4
849.045349,952.392639,1
872.90094,4058.87744,4
875.301331,1252.516,1
876.94,4219.95752,4
886.542542,4060.10474,4
888.4232,3881.74561,4
899.818359,4435.319,4
900.2092,4059.06567,4
901.604431,4184.208,4
903.407654,4166.15332,4
903.469,4263.29248,4
903.870667,4288.53174,4
905.2083,4164.494,4
906.126465,4251.604,4
906.3886,4133.0376,4
907.017151,4236.7334,4
912.852,4314.57959,4
914.1609,4301.692,4
914.18866,3898.83643,4
916.6398,4115.77637,4
918.018738,1300.06921,1
918.43866,4069.49023,4
918.7257,4024.042,4
919.2113,1273.11658,1
922.1333,1094.37415,1
922.659058,4234.795,4
923.859,4202.72559,4
924.2997,1754.37671,4
924.4265,3419.01221,4
926.174744,4092.566,4
926.394,4314.8916,4
927.2447,1194.56836,1
927.27594,1291.47266,1
927.693848,1152.369,1
928.062561,4109.20752,4
928.665955,4106.943,4
930.9666,1252.27808,1
931.046753,4261.8833,4
931.1742,4233.43848,4
932.00354,1261.19348,1
932.8329,4325.041,4
933.049744,3973.686,4
933.108643,1223.74219,1
933.303955,1326.11194,1
934.2727,1231.42273,1
934.410461,1212.83179,1
935.243958,1247.49622,1
936.0847,4097.29834,4
936.5166,4368.12939,4
936.8005,4270.56543,4
937.456848,4252.5874,4
937.5478,4140.745,4
937.610168,1201.56763,1
937.6264,4218.32129,4
937.6567,1201.94861,1
938.133362,2764.11914,4
938.266,4110.43,4
938.491,4331.94727,4
938.500549,1254.6261,1
938.890442,1205.4176,1
939.0284,1261.22083,1
939.6892,4093.44141,4
939.720642,1251.052,1
940.4087,4147.08447,4
940.56134,4164.576,4
940.8722,1228.56042,1
940.9811,1201.34143,1
941.0572,4422.8877,4
941.1948,4334.024,4
941.2306,4334.18359,4
942.786865,1290.33118,1
942.8412,4100.99951,4
942.847351,1389.301,1
943.0993,4351.477,4
943.1925,1314.46533,1
943.7861,1309.19678,1
944.108337,4131.62158,4
944.1451,1258.07739,1
944.73584,3712.23584,4
945.491455,1396.71228,1
945.596558,1285.42773,1
945.7071,1255.81946,1
945.8553,1221.41309,1
946.3109,1317.63843,1
946.9381,1287.48547,1
947.0059,1212.13428,1
947.883057,4344.64648,4
947.9788,3804.52173,4
948.634033,4147.802,4
948.7215,1292.5188,1
948.9742,4120.243,4
949.0539,4051.9165,4
949.616333,4039.64,4
950.0081,1272.93665,1
950.285034,1247.80066,1
950.4932,4260.7085,4
950.680054,4243.101,4
950.752,4262.42236,4
950.926147,1218.46362,1
951.085266,1248.62537,1
951.528137,1203.82959,1
951.839661,1242.74158,1
952.2145,4094.98926,4
952.2761,4108.195,4
952.3132,4246.32227,4
952.3481,1231.70642,1
952.711243,1228.96973,1
952.788757,1214.95142,1
953.0816,1194.08374,1
953.471558,4079.67065,4
953.5445,3683.79565,4
953.9475,1167.78992,1
954.1023,4038.671,4
954.5608,1221.25781,1
954.657959,1196.36523,1
954.737366,1272.565,1
954.943,1300.90308,1
955.2528,1262.7002,1
955.3598,1264.06531,1
955.4974,4196.733,4
955.797,1236.70288,1
955.9132,4512.68848,4
955.9595,1207.136,1
956.116333,3966.342,4
956.1954,1184.24268,1
956.276733,1227.20593,1
956.3089,1214.71716,1
956.5454,1192.3064,1
956.6335,1250.31567,1
956.8112,1275.76538,1
957.0167,4155.98535,4
957.1837,4316.91,4
957.517639,1209.054,1
957.865356,4126.85254,4
957.917969,1171.50354,1
958.093445,1342.78809,1
958.098755,1195.31616,1
958.1082,1220.20447,1
958.128662,1286.37439,1
958.1826,1306.06616,1
958.1894,1257.76941,1
958.6339,1274.10767,1
958.8775,1313.80225,1
958.879639,1233.94934,1
959.4103,1317.66418,1
959.4721,1268.53125,1
959.54126,1215.23621,1
959.583557,4333.76172,4
959.599,1267.404,1
960.4033,4162.67773,4
960.576538,1273.70911,1
960.952637,1306.5282,1
961.05,1201.9397,1
961.2056,4256.32959,4
961.3638,4127.93066,4
961.548767,4156.42529,4
961.6252,1189.3761,1
961.648,1293.57642,1
961.658,1250.06946,1
