Ch1 Amplitude,Ch2 Amplitude,Cluster
-303.082367,4407.073,4
-302.902679,4982.705,4
-292.0278,4259.02344,4
-291.57135,4033.63916,4
-290.065826,4064.77539,4
-289.6064,4216.839,4
-287.1378,4231.828,4
-286.1612,4046.809,4
-284.3903,4164.107,4
-280.776031,4130.067,4
-279.634918,3775.36475,4
-276.545532,4241.40674,4
-276.3257,4175.12158,4
-273.887268,4067.885,4
-273.573334,4028.29053,4
-273.2394,3917.4978,4
-272.397278,4252.71826,4
-271.840851,4140.478,4
-271.425629,4188.223,4
-271.0841,4305.19775,4
-270.8535,4034.39355,4
-268.8413,4364.21631,4
-267.899841,4107.092,4
-267.437561,4073.94946,4
-266.648438,4158.523,4
-263.653839,4500.17041,4
-263.47525,4138.594,4
-262.4748,4056.625,4
-261.552216,4148.27,4
-261.471161,3908.50781,4
-260.883484,4317.59,4
-258.7675,4152.17627,4
-257.3019,4073.87915,4
-256.510284,4372.02051,4
-256.469727,4178.51172,4
-256.19632,4277.071,4
-256.119568,4253.5376,4
-256.0485,4186.085,4
-255.477524,4044.04077,4
-254.853012,4269.57275,4
-254.068451,4138.592,4
-253.641281,4019.57324,4
-253.545181,3835.35571,4
-252.826584,4059.07227,4
-251.893036,4058.096,4
-251.472565,3739.41772,4
-250.213974,4154.113,4
-249.411362,4197.853,4
-249.288376,4037.59277,4
-248.608963,4220.89551,4
-247.968781,3881.83765,4
-247.449646,4140.8916,4
-245.872742,1012.92468,1
-245.813751,4200.5083,4
-244.553711,4127.79,4
-244.4234,1034.75427,1
-243.484985,4190.217,4
-242.922043,3995.71948,4
-242.633072,1010.2348,1
-242.2761,4124.251,4
-241.548889,3988.74854,4
-241.250671,3935.5166,4
-241.094528,3844.52661,4
-240.9341,4213.77344,4
-240.412277,4038.18726,4
-240.229141,4117.519,4
-238.82576,4004.08252,4
-238.493225,3969.30371,4
-235.355,4131.31348,4
-235.2838,979.881531,1
-234.940521,3914.007,4
-234.665268,4235.18555,4
-234.028931,3933.83838,4
-233.149673,4171.75928,4
-233.00914,3958.964,4
-232.494888,3893.59766,4
-232.29,1068.71387,1
-232.18866,4284.38574,4
-231.625473,4385.085,4
-231.314743,4075.84229,4
-230.561279,4174.011,4
-229.938644,3921.22974,4
-229.535538,4067.48877,4
-229.265488,4161.718,4
-228.693237,3938.74585,4
-228.625656,1046.36267,1
-228.606552,4189.32,4
-228.5315,3936.019,4
-228.506516,4251.37256,4
-228.496674,4122.81445,4
