Ch1 Amplitude,Ch2 Amplitude,Cluster
1065.7373,566.6953,1
1069.01355,587.4929,1
1069.87646,600.9291,1
1074.65637,628.6782,1
1077.90991,633.392639,1
1078.42236,572.046143,1
1080.43665,546.5936,1
1088.3363,579.2929,1
1089.88977,582.028748,1
1103.43079,609.1886,1
1107.25916,547.279053,1
1109.80261,578.461365,1
1112.761,628.966858,1
1119.03748,634.105,1
1120.61768,522.7189,1
1120.67627,550.430969,1
1122.74744,552.102539,1
1126.2074,621.370239,1
1127.26453,493.6395,1
1128.18225,555.6852,1
1129.74707,570.2581,1
1130.39673,528.3739,1
1131.78967,564.7335,1
1133.49854,587.2601,1
1133.85364,554.480652,1
1134.26416,539.677063,1
1136.80957,619.600952,1
1137.63623,641.5582,1
1138.32275,577.8137,1
1139.09912,574.3283,1
1139.69324,523.085,1
1140.81177,555.410645,1
1141.13721,531.29834,1
1141.53455,604.8662,1
1142.089,599.858765,1
1142.24829,613.807434,1
1142.27673,617.210449,1
1142.63684,572.4513,1
1142.91821,624.8159,1
1143.135,560.034363,1
1143.38733,614.838745,1
1143.47644,601.6768,1
1143.92786,589.4602,1
1144.09668,529.698364,1
1145.69714,527.1572,1
1145.97717,533.0426,1
1147.00134,545.707764,1
1147.04248,521.642,1
1147.5293,607.443359,1
1148.00037,588.887146,1
1148.45325,546.2606,1
1148.6991,637.999939,1
1148.72192,570.758,1
1148.94714,553.2669,1
1149.04175,562.615356,1
1149.0697,615.1246,1
1149.73914,564.2154,1
1150.00793,589.048462,1
1150.05383,560.9692,1
1150.75977,592.3518,1
1151.31274,541.1885,1
1151.5177,575.5298,1
1151.52783,619.0622,1
1151.62292,598.8256,1
1152.32666,597.6133,1
1152.36646,604.509,1
1153.24768,518.0998,1
1153.39551,546.374451,1
1153.44946,589.7696,1
1153.99658,570.3116,1
1154.34619,610.428162,1
1154.36426,605.732544,1
1154.48914,625.5971,1
1154.59058,643.21106,1
1154.69666,596.124939,1
1154.77,584.774,1
1154.85437,528.103455,1
1154.899,607.4651,1
1155.15466,517.647,1
1155.23535,506.105133,1
1155.36743,602.081543,1
1155.399,552.505,1
1155.42065,508.522552,1
1155.50732,569.07,1
1155.77344,583.0602,1
1155.78,580.6034,1
1156.24927,570.371643,1
1156.27429,583.297363,1
1156.56567,572.324951,1
1156.61865,568.9778,1
1156.66406,560.1517,1
1156.72339,616.564636,1
1156.906,538.777832,1
1157.166,546.469543,1
1157.36926,605.695435,1
1157.43213,605.3044,1
1157.5675,589.3125,1
1157.71362,584.592346,1
1158.12634,545.8802,1
1158.204,588.067261,1
1158.4928,562.261169,1
1158.6803,620.2627,1
1159.03345,570.9145,1
1159.31018,596.4052,1
1159.52356,558.1962,1
1159.99353,597.838135,1
1160.13782,524.778931,1
1160.402,582.8925,1
1160.49841,575.684448,1
1160.51392,585.138245,1
1160.561,605.6897,1
1160.60046,594.692749,1
1160.68323,558.0855,1
1160.71484,642.8369,1
1160.8418,593.0279,1
1161.04675,526.295837,1
1161.06934,546.1187,1
1161.42078,539.4082,1
1161.58252,544.4929,1
1161.66919,557.1863,1
1161.70374,627.822754,1
1161.76306,544.811646,1
1161.88525,579.2997,1
1161.96265,614.6293,1
1162.18726,575.3874,1
1162.34656,559.371155,1
1162.37781,561.488464,1
1162.41223,512.663452,1
1162.45447,583.268738,1
1162.5896,596.162842,1
1162.59155,575.154358,1
1162.69263,500.706757,1
1162.77307,630.4067,1
1162.7959,609.7377,1
1163.03271,596.296753,1
1163.10522,560.591064,1
1163.1853,546.2209,1
1163.19641,560.7424,1
1163.27979,604.8412,1
1163.34436,554.0194,1
1163.46265,592.034,1
1163.71924,589.743164,1
1163.723,575.282654,1
1163.73181,583.268433,1
1163.85413,569.827148,1
1163.97339,607.850769,1
1164.0343,540.0124,1
1164.09656,538.196167,1
1164.13,656.3007,1
1164.18591,582.408264,1
1164.4043,572.9435,1
1164.60107,559.4176,1
1164.642,630.31134,1
1164.91748,585.9764,1
1164.92773,548.116333,1
1165.05359,517.0015,1
1165.07556,601.3807,1
