Ch1 Amplitude,Ch2 Amplitude,Cluster
876.063538,828.3308,1
953.592957,2469.433,4
989.999146,1022.41547,1
1019.86969,1119.1377,1
1021.21954,3180.19067,4
1025.84229,3123.02075,4
1026.92651,882.9844,1
1039.27258,2196.77124,4
1039.85449,999.1215,1
1043.41711,1217.376,1
1044.0929,1110.0896,1
1049.16431,1273.029,1
1050.64307,2635.07373,4
1053.82056,1087.77075,1
1054.75354,3059.4873,4
1057.147,3193.015,4
1059.009,1058.16016,1
1060.5835,1196.28333,1
1063.38123,3242.76074,4
1065.87134,3136.84521,4
1066.20728,1296.36047,1
1072.23352,1206.02869,1
1073.2168,1197.32568,1
1074.26965,1313.55713,1
1075.288,3049.35352,4
1077.18628,3045.75757,4
1077.87,3047.93384,4
1078.987,3148.33472,4
1081.97266,1146.63879,1
1082.55908,1028.03979,1
1082.87622,1060.09436,1
1084.75781,3065.02344,4
1085.765,2954.01953,4
1087.05835,2212.22168,4
1087.8573,3024.47852,4
1088.05212,1322.25623,1
1088.205,3080.97461,4
1088.64417,1233.58557,1
1088.67737,3252.76465,4
1088.98413,1085.06372,1
1089.33081,3185.12476,4
1089.47021,3331.59741,4
1089.68079,3103.0166,4
1090.21265,1315.72583,1
1090.39368,1295.74377,1
1090.52368,3053.41919,4
1091.69482,3114.58032,4
1092.71655,1224.39246,1
1092.751,1198.84973,1
1092.86523,1280.33325,1
1093.02026,3105.48169,4
1093.444,1111.152,1
1093.65576,1226.28882,1
1093.77124,1216.54431,1
1094.74084,3089.193,4
1095.01843,3140.67188,4
1095.05,3066.96362,4
1095.27344,1226.44165,1
1095.47852,1228.28052,1
1095.54016,3057.84546,4
1095.65637,1290.0835,1
1095.66,1146.67322,1
1097.75684,3008.11987,4
1098.38416,1233.2,1
1098.52283,3058.05347,4
1098.55286,1192.56128,1
1098.68677,1230.93738,1
1098.8457,1239.90271,1
1099.23718,1113.11084,1
1100.08936,3226.441,4
1100.39941,1189.336,1
1100.55493,1239.16931,1
1101.0022,1319.51172,1
1101.37378,1256.32886,1
1101.592,3020.41724,4
1101.71826,3162.06128,4
1101.86133,3083.608,4
1102.33691,1232.93176,1
1102.71021,1260.13013,1
1102.73511,3009.555,4
1102.88452,1273.744,1
1103.17725,1118.39441,1
1103.41,2980.51978,4
1103.57617,3090.428,4
1104.31628,1185.14221,1
1104.41174,3111.455,4
1104.46753,3173.49072,4
1104.55847,2915.08862,4
1105.15247,1276.69226,1
1105.83289,1117.20117,1
1106.43787,1270.57141,1
1107.08423,1260.64771,1
1107.27856,1241.62573,1
1107.2821,1061.56946,1
1107.35168,1188.54858,1
1107.62927,3109.31177,4
1108.59558,1058.49512,1
1108.688,1314.15686,1
1109.22412,1183.50793,1
1109.41663,1286.46826,1
1109.46069,1331.62292,1
1109.67188,1207.4209,1
1110.00256,1178.14429,1
1110.15308,3074.87915,4
1110.954,1204.11975,1
1111.24133,1215.67,1
1111.26282,1293.63379,1
1111.43091,1138.22449,1
1112.24609,1246.13184,1
1112.40613,3068.83179,4
1112.56213,1223.74365,1
1112.63916,3066.02173,4
1112.68323,1215.52356,1
1112.68372,1204.09949,1
1112.76514,1278.32275,1
1112.985,3318.48145,4
1113.14026,3049.85132,4
1113.32324,1191.65063,1
1113.33423,1186.31909,1
1113.43164,1290.78,1
1113.44238,1275.35876,1
1113.462,1119.00146,1
1113.65833,1161.7063,1
1113.83777,3103.433,4
1113.84888,1222.84692,1
1113.91077,1242.97693,1
1113.9845,3190.94116,4
1114.052,1213.64319,1
1114.6145,3050.02368,4
1114.64148,1187.51111,1
1114.76257,1246.78271,1
1115.09412,1259.26062,1
1115.09534,3049.53638,4
1115.13867,1186.74268,1
1115.32263,1234.80872,1
1115.33765,3237.79321,4
1115.59814,1083.47437,1
1115.73071,1277.36328,1
1115.949,1304.15247,1
1116.02368,1218.50757,1
1116.025,1302.6991,1
1116.27075,1060.41919,1
1116.41064,1241.5614,1
1116.783,1222.74683,1
1116.79358,1276.54175,1
1116.91467,3155.94116,4
1117.02075,3163.313,4
1117.11023,1259.21851,1
1117.35681,1085.753,1
1117.38293,1145.55835,1
1117.538,1235.56445,1
1117.56519,3152.57373,4
1117.61511,1239.88159,1
1117.7218,1258.09558,1
1117.90063,1194.64075,1
1117.96521,3107.84961,4
1118.02258,3207.68262,4
1118.31946,1277.9458,1
1118.34473,1262.86816,1
1118.42419,1208.57263,1
1118.46692,3079.34351,4
1118.87012,1216.92627,1
1118.88806,1258.25134,1
1119.13428,1221.19714,1
1119.377,1149.43616,1
1119.71814,1184.14612,1
1119.759,1183.6344,1
1119.77832,1113.08,1
1119.814,3062.78076,4
1119.84656,1308.36475,1
1120.34729,1121.53906,1
1120.46851,1200.43066,1
1120.88367,1251.23816,1
1120.89868,3081.1416,4
1120.93079,1183.6333,1
1121.22644,3165.267,4
1121.43762,1230.83972,1
1121.61438,1262.13733,1
1121.69055,1257.91553,1
1121.74646,1210.01367,1
1121.74866,3278.36572,4
1121.74963,1352.61523,1
1121.95374,1235.214,1
1122.0249,1216.20752,1
1122.56824,3064.4397,4
1122.63354,1285.16736,1
1122.679,1266.09106,1
1122.75488,3195.02734,4
1123.00964,1148.099,1
1123.23828,3023.88647,4
1123.24585,1248.81421,1
1123.30518,1189.00146,1
1123.86365,1254.43286,1
1124.05664,1258.65051,1
1124.22107,1241.547,1
1124.30334,1223.08154,1
1124.4967,1266.1333,1
1124.65735,1156.91162,1
1124.66016,2954.593,4
1124.675,3234.886,4
1124.74036,1244.90552,1
1124.907,1228.92615,1
1124.91174,1204.32141,1
1124.99829,1294.72607,1
1125.47937,1186.13672,1
1125.55823,1177.27234,1
1125.6814,3065.35449,4
1125.73157,1308.72571,1
1125.73853,1292.01245,1
1125.74585,3090.0603,4
1125.96252,1163.45459,1
1126.13843,1215.26355,1
1126.22327,1238.67957,1
1126.23914,1286.91162,1
1126.27173,1121.51453,1
1126.33521,1209.66565,1
1126.425,1201.34827,1
1126.671,1242.66956,1
1126.73376,1232.01831,1
1126.768,1272.53247,1
1126.84766,1238.58228,1
1126.91174,3025.82056,4
1127.00476,1212.59534,1
1127.0249,1280.34888,1
1127.19666,1164.01538,1
1127.42078,1285.5437,1
1127.50562,1181.26367,1
1127.82178,1126.7229,1
1127.84656,1262.75,1
1127.92188,1169.19934,1
1127.94751,1226.22974,1
1128.03284,1351.43628,1
1128.33936,1262.11316,1
1128.71155,1178.36609,1
1128.7146,1243.7074,1
1128.73816,2389.58081,4
1128.8894,1232.44714,1
1128.90173,1205.21252,1
1128.95593,1212.69446,1
1128.97217,1146.41125,1
1129.0885,1161.7749,1
1129.11523,3139.55981,4
1129.17444,1261.77734,1
1129.2113,1254.82361,1
1129.30457,1238.87659,1
1129.362,1223.43066,1
1129.61816,1201.6571,1
1129.68176,1160.58521,1
1129.83228,1243.56152,1
1129.88049,3183.38452,4
1129.94641,3040.59863,4
1129.94885,1250.27454,1
1130.09827,1242.637,1
1130.2804,1278.887,1
1130.49463,3215.73584,4
1130.51868,1265.88062,1
1130.59766,1254.6792,1
1130.72437,1128.85242,1
1130.88757,3145.742,4
1130.89392,1203.90356,1
1130.93408,1272.50964,1
1130.99707,1214.65942,1
1131.02771,1239.70044,1
1131.17419,1202.01868,1
1131.31531,1241.24463,1
1131.50244,1323.61267,1
1131.60046,1311.4917,1
1131.64954,1228.169,1
1131.79626,2945.16943,4
1131.8457,1254.45581,1
1131.95129,3053.092,4
1131.95239,1183.95789,1
1132.0365,1246.20557,1
1132.25134,1193.18909,1
1132.3,1193.9679,1
1132.47375,1258.77759,1
1132.51123,1144.56824,1
1132.66223,1179.2312,1
1132.75525,1239.32532,1
1132.78113,1223.22437,1
1132.81665,3132.23438,4
1132.88806,3157.71924,4
1133.07092,1277.1499,1
1133.07666,3105.23169,4
1133.08472,3019.49219,4
1133.18689,1336.94336,1
1133.25708,3056.9043,4
1133.31506,1204.26624,1
1133.39893,1270.08191,1
1133.4126,1212.026,1
1133.42017,1272.48987,1
1133.43909,1209.48035,1
1133.49377,1237.90991,1
1133.70251,1246.76331,1
1133.74414,1203.30151,1
1133.95313,1189.19385,1
1134.0011,1256.93555,1
1134.143,1146.02417,1
1134.18213,1263.13184,1
1134.24841,1196.28833,1
1134.32568,1223.15369,1
1134.43176,1065.54114,1
1134.46545,3047.30273,4
1134.46753,3106.27783,4
1134.57275,1149.56836,1
1134.60339,1243.59778,1
1134.60693,1226.95215,1
1134.78662,1250.63806,1
1134.79028,2925.76245,4
1134.79541,1211.62671,1
1134.79565,1213.18921,1
1134.87671,1262.30591,1
1134.90161,1250.9314,1
1134.98584,1221.84424,1
1134.9917,1199.02637,1
1134.99329,1270.913,1
1135.01257,1255.649,1
1135.04663,1272.84961,1
1135.07068,1213.0387,1
1135.15369,1179.75159,1
1135.22473,1096.14453,1
1135.24121,1206.4823,1
1135.32361,1182.53784,1
1135.33142,1270.66663,1
1135.36658,1248.49658,1
1135.37183,1184.99719,1
1135.43152,1176.58,1
1135.43359,1201.58948,1
1135.58984,1321.62988,1
1135.60132,1206.95728,1
1135.70068,1204.35535,1
1135.82556,2937.8374,4
1135.83325,1231.109,1
1135.84155,1250.70691,1
1135.92859,1250.89746,1
1136.024,1181.85962,1
1136.17236,1229.14,1
1136.17383,1193.12427,1
1136.2384,1236.78015,1
1136.25964,1196.49438,1
1136.30872,3125.64355,4
1136.31287,1150.71753,1
1136.33936,1241.87585,1
1136.37659,1275.02722,1
1136.53967,1308.25146,1
1136.80151,1248.71912,1
1136.9408,1214.15588,1
1137.05237,1207.5553,1
1137.22693,1218.12256,1
1137.2699,1199.53979,1
1137.32056,1224.90881,1
1137.35266,1305.61292,1
1137.39587,1272.79492,1
1137.42407,1128.74268,1
1137.44519,1301.12048,1
1137.51343,1160.23657,1
1137.5188,3024.90063,4
1137.58972,3079.78931,4
1137.60767,1258.53992,1
1137.65686,1196.32092,1
1137.73364,1200.13123,1
1137.7876,1176.74731,1
1137.85168,1217.81873,1
1137.88989,3059.317,4
1138.04028,1251.28882,1
1138.04822,3188.0603,4
1138.1239,1305.66528,1
1138.16675,1188.9021,1
1138.19043,1235.955,1
1138.21826,1262.85168,1
1138.26965,1218.217,1
1138.39636,1163.70789,1
1138.4198,3011.89551,4
1138.6676,1128.98242,1
1138.72363,1254.61511,1
1138.84619,2920.20386,4
1138.97949,1141.15759,1
1138.99915,1242.76,1
1139.09534,1253.84827,1
1139.104,3108.154,4
1139.117,1307.16357,1
1139.14929,1229.41357,1
1139.17993,1234.42651,1
1139.36255,2984.96362,4
1139.36353,3017.53174,4
1139.38342,2913.31445,4
1139.391,2987.808,4
1139.44629,1169.09509,1
1139.541,3006.41943,4
1139.63611,1281.03955,1
1139.6499,1185.91467,1
1139.68213,1272.39111,1
1139.85352,2989.032,4
1139.939,1218.19409,1
1139.96118,1245.32031,1
1139.96362,3115.62451,4
1140.09216,3002.47119,4
1140.21619,1289.44287,1
1140.21924,1255.283,1
1140.31543,1259.11755,1
1140.42163,3078.23169,4
1140.42334,3019.53857,4
1140.45056,1204.16724,1
1140.556,1186.02148,1
1140.72,1161.50793,1
1140.76453,1196.51172,1
1140.77124,3012.21069,4
1140.81738,1174.95374,1
1140.95056,1201.92859,1
1140.97437,2048.30371,4
1141.057,1252.95752,1
1141.08264,1283.3103,1
1141.12134,3114.36084,4
1141.25244,1331.24683,1
1141.26746,1163.66553,1
1141.35742,1256.55554,1
1141.41357,1277.42358,1
1141.47046,1217.16968,1
1141.47119,1119.67249,1
1141.51941,1309.6449,1
1141.58765,3056.733,4
1141.5896,1234.09363,1
1141.6095,1186.85645,1
1141.62732,1236.157,1
1141.632,1260.30237,1
1141.65356,1330.10583,1
1141.65747,1175.72388,1
1141.80762,1197.12732,1
1141.89075,1253.68726,1
1141.95349,1199.49854,1
1141.96619,1156.94275,1
1142.03467,1140.94043,1
1142.14819,1175.05188,1
1142.17285,1257.95667,1
1142.27454,1231.87683,1
1142.29138,1223.7616,1
1142.37463,1191.72949,1
1142.47437,1201.42773,1
1142.50342,1176.49182,1
1142.55481,2963.654,4
1142.56128,2110.762,4
1142.61047,1147.282,1
1142.61523,1286.73438,1
1142.62476,1209.094,1
1142.75024,1253.324,1
1142.82141,1204.62476,1
1142.8927,1219.17688,1
1142.981,3009.6123,4
1142.98767,1186.76587,1
1142.9895,3020.62061,4
1143.14636,1285.46582,1
1143.21326,1176.235,1
1143.22864,1213.58838,1
1143.30554,3076.2876,4
1143.41028,1305.69324,1
1143.54224,1220.48364,1
1143.62964,2939.26831,4
1143.66479,1188.20862,1
1143.69031,1201.22937,1
1143.73792,1297.36841,1
1143.92,2893.33252,4
1144.02258,1221.74048,1
1144.0238,1292.16248,1
1144.0614,1207.3855,1
1144.07043,2952.002,4
1144.091,1170.35693,1
1144.29688,1298.79431,1
1144.36377,1168.35156,1
1144.46375,1222.49634,1
1144.53552,1247.08777,1
1144.54736,3157.30054,4
1144.668,3153.58472,4
1144.69287,3110.727,4
1144.747,1172.35388,1
1144.76221,1283.614,1
1144.799,1074.97034,1
1144.83337,1156.71484,1
1144.86707,1223.77649,1
1144.8678,1234.347,1
1145.03259,1285.83911,1
1145.0481,1222.76135,1
1145.054,1150.79724,1
1145.07385,3004.09814,4
1145.07593,1258.27942,1
1145.07715,1170.7832,1
1145.15259,1210.2561,1
1145.18213,1199.79041,1
1145.25183,2974.32617,4
1145.26123,1257.27124,1
1145.28516,2959.88452,4
