Ch1 Amplitude,Ch2 Amplitude,Cluster
653.3965,628.7268,1
881.183533,898.332764,1
935.2432,3206.502,4
939.406738,1049.86926,1
950.379761,858.502747,1
955.2688,1048.373,1
955.463562,951.7837,1
957.798462,1010.1142,1
967.6706,1149.46167,1
978.403931,1129.58984,1
988.9993,1016.64569,1
989.936462,2963.07666,4
993.445435,1062.49329,1
1015.28406,1205.5531,1
1016.14386,3059.00537,4
1018.09637,1107.63916,1
1021.94458,1196.55444,1
1026.61621,1157.71631,1
1028.26233,966.083557,1
1029.09827,1097.04077,1
1029.71643,1021.51093,1
1031.52832,1150.328,1
1032.45483,3119.54419,4
1034.70129,1207.85376,1
1039.68884,2996.032,4
1040.49744,3053.25269,4
1042.01074,1003.91235,1
1042.15466,961.88385,1
1045.98059,1176.88684,1
1046.40515,1194.15479,1
1052.19946,1227.606,1
1052.64087,1176.12219,1
1052.95972,1276.124,1
1053.94263,1238.64014,1
1054.14758,1119.73694,1
1055.05261,1205.43567,1
1055.91956,1081.28906,1
1056.07007,1033.12524,1
1058.20483,1186.82031,1
1058.75024,1187.81128,1
1060.12109,1007.53729,1
1061.54175,2923.95581,4
1061.85059,1068.90283,1
1062.839,1162.25232,1
1063.92957,1185.109,1
1063.94629,1211.50439,1
1064.1814,2234.04248,1
1064.32056,1168.87036,1
1064.71326,1236.19836,1
1065.5022,1141.93774,1
1065.69141,1225.55017,1
1065.97266,1124.82141,1
1066.48682,3002.80054,4
1066.82336,1288.24036,1
1066.90613,1249.63892,1
1066.90942,3105.22754,4
1067.41455,1198.59631,1
1067.51428,939.7774,1
1067.59937,1153.78967,1
1067.68445,1205.67749,1
1068.05969,1054.22583,1
1068.26636,1174.14209,1
1068.97217,1245.66284,1
1069.03247,3086.451,4
1069.31458,1140.68274,1
1069.61926,1148.79443,1
1069.81055,1153.26843,1
1069.85474,1142.654,1
1069.915,1042.77844,1
1070.59375,1211.14783,1
1070.69958,1017.4989,1
1071.01685,1279.67371,1
1071.4248,1248.00208,1
1071.43713,1149.15759,1
1071.78821,1111.26453,1
1071.96655,1221.61121,1
1072.63367,1151.19385,1
1072.693,1188.3092,1
1073.3689,2922.68921,4
1073.56543,1252.28955,1
1073.57568,1163.86584,1
1073.633,1213.02441,1
1074.10107,1180.76538,1
1074.75049,1202.07068,1
1074.7533,1238.17517,1
1075.19238,1217.70813,1
1075.23914,1087.59338,1
1075.74146,1147.589,1
1075.85229,1005.98535,1
1075.9801,2775.25732,4
1076.021,1199.72693,1
1076.33789,2914.54956,4
1076.48059,1047.47742,1
1076.5249,1268.67871,1
1076.62622,1240.00073,1
1076.78577,3109.03369,4
1076.82849,1259.38208,1
1076.96912,1138.18774,1
1077.092,1216.03589,1
1077.10767,1281.74353,1
1077.137,1153.6095,1
1077.45349,1286.29858,1
1078.022,1097.73462,1
1078.63879,1228.39307,1
1078.78931,1191.58545,1
1078.84314,1201.48474,1
1079.23755,1216.624,1
1079.26575,1232.89734,1
1079.34326,1163.173,1
1079.48743,1190.56763,1
1079.60889,1111.02783,1
1079.63269,1263.98071,1
1080.06189,1220.33118,1
1080.06665,3074.34082,4
1080.14453,1207.46826,1
1080.187,2909.91235,4
1080.18872,1150.71228,1
1080.34241,1134.88989,1
1080.44153,1169.13123,1
1080.461,1178.6322,1
1080.77722,1185.97449,1
1080.96667,1177.51,1
1081.0459,1187.19153,1
1081.64661,1184.502,1
1081.7959,1146.215,1
1081.99866,1241.24255,1
1082.12061,1240.15454,1
1082.563,1170.728,1
1082.68018,1197.98083,1
1082.86169,1238.39722,1
1082.94617,1169.82373,1
1083.16846,1187.6499,1
1083.26453,1250.11035,1
1083.305,1193.03711,1
1083.33289,1178.6189,1
1083.44739,1247.69043,1
1083.60889,1207.70459,1
1083.66089,1259.0824,1
1083.92017,1176.52856,1
1083.94519,1284.46118,1
1084.071,1142.70056,1
1084.31982,1165.83557,1
1084.59656,1139.87659,1
1084.82739,1142.76062,1
1084.91125,1306.70581,1
1085.21265,1162.251,1
1085.27856,1240.42419,1
1085.6759,1181.72388,1
1085.80847,1223.8186,1
1085.89734,1173.75024,1
1085.97839,1212.12988,1
1086.01831,1226.45081,1
1086.07544,1206.60913,1
1086.274,1205.87549,1
1086.44617,1173.637,1
1086.5127,1216.25012,1
1086.62793,1204.84155,1
1086.7373,2962.483,4
1086.75049,3099.8645,4
1086.90771,3016.07544,4
1087.14624,1187.03357,1
1087.18066,1173.04041,1
1087.22729,1161.91028,1
1087.25586,1182.42273,1
1087.33081,1179.08716,1
1087.87988,2976.325,4
