Ch1 Amplitude,Ch2 Amplitude,Cluster
403.2313,353.02533,1
435.229645,435.775482,1
513.177246,345.608215,1
963.412842,1105.98328,1
964.7426,1138.23962,1
991.829651,1134.40491,1
993.1972,1111.82068,1
993.7357,1271.79236,1
994.8745,1170.48328,1
998.8352,3229.968,4
1003.21973,1087.47827,1
1004.46362,1093.82678,1
1007.53418,1112.46533,1
1015.02515,1112.25952,1
1023.81537,1123.52246,1
1024.53882,1269.9469,1
1024.78943,1081.6969,1
1025.44373,1211.54187,1
1026.4978,1059.92419,1
1026.7605,1993.758,1
1026.90344,1071.092,1
1027.46533,1161.07092,1
1027.85938,1173.58472,1
1028.15649,1170.95776,1
1028.37256,1162.02625,1
1029.32886,1089.59692,1
1029.615,1145.26721,1
1030.72473,2585.73145,4
1031.425,1165.44922,1
1033.423,1215.56409,1
1034.3175,1051.13867,1
1035.208,1097.97388,1
1036.57544,3023.07251,4
1036.57849,1033.34741,1
1039.56116,1288.24146,1
1042.4574,1215.12781,1
1043.99316,3037.88623,4
1044.56335,1122.69666,1
1044.7135,1180.55627,1
1047.8363,1197.99744,1
1049.52075,1261.01221,1
1052.15759,1054.14771,1
1052.44666,994.5695,1
1053.00317,1228.88708,1
1053.0686,1085.72717,1
1054.504,1170.03418,1
1054.74622,1105.79187,1
1054.82422,1301.56189,1
1054.89709,1222.80371,1
1054.96851,1263.829,1
1055.04285,1132.81018,1
1055.75684,1116.28992,1
1056.08545,1203.78735,1
1057.14954,1207.05481,1
1057.17249,1219.67126,1
1058.02319,1204.22925,1
1058.51758,1292.09741,1
1058.749,1214.15063,1
1058.99426,1241.64893,1
1060.76709,1198.65125,1
1061.67041,1182.88623,1
1063.27917,1169.21655,1
1063.91113,1177.96558,1
1064.33911,1214.21667,1
1064.52271,2991.63721,4
1064.84277,1153.75537,1
1065.31482,1172.24451,1
1065.58337,1020.08337,1
1065.76843,1188.32947,1
1066.07971,1147.457,1
1066.72791,1052.54382,1
1066.859,1284.1228,1
1067.15149,1163.21045,1
1067.39636,1216.88379,1
1067.9325,1184.87146,1
1067.9397,2986.59155,4
1068.08582,1235.03186,1
1068.20959,1187.00391,1
1068.40393,1137.45911,1
1068.4447,1204.99341,1
1068.73242,1048.69568,1
1069.83728,1170.44275,1
1070.03345,1184.57068,1
1070.14038,1139.61255,1
1070.3999,1161.32446,1
1071.21729,1244.54456,1
1071.316,1176.412,1
1071.37256,1150.35938,1
1071.69189,1141.94861,1
1071.7738,1175.38281,1
1072.363,1195.778,1
1072.82568,1200.39026,1
1072.94714,1205.8125,1
1073.18152,1104.56775,1
1073.24573,1237.22229,1
1073.77625,1246.16956,1
1073.86792,1093.4126,1
1074.09387,1221.09912,1
1074.38672,1161.278,1
1074.47217,1175.39465,1
1074.60071,1176.7666,1
1074.82178,1083.2356,1
1074.95569,1219.65625,1
1075.5708,1171.56531,1
1075.77612,1199.26892,1
1076.13916,1217.30481,1
1076.30957,1201.76953,1
1076.449,1227.75037,1
1076.69556,1267.73242,1
1077.24719,1211.43811,1
1077.88855,1252.48022,1
1077.89111,1204.66467,1
1077.90515,1198.76978,1
1078.04248,1222.67737,1
1078.36316,1206.19788,1
1078.47241,2782.893,4
1078.66125,1184.93286,1
1078.80359,1255.30591,1
1078.96973,1189.4436,1
1079.04785,1175.84717,1
1079.81812,1166.31665,1
1079.91187,1172.3761,1
1079.92456,1242.76379,1
1080.02087,1176.86682,1
1080.07251,1226.374,1
1080.58447,1155.478,1
1080.58582,1136.21069,1
1080.66309,1262.578,1
1080.708,1113.37427,1
1080.82532,1141.05237,1
1081.45764,1222.89246,1
1082.20459,1190.17334,1
1082.631,1143.07983,1
1083.12866,1210.24158,1
1083.19641,1265.82837,1
1083.22607,2979.334,4
1083.46545,1207.78918,1
1083.50232,1205.95337,1
1083.76172,1106.33521,1
1084.541,980.521362,1
1084.56909,1208.3457,1
1084.60791,1212.76709,1
1084.64172,1194.01892,1
1084.80481,1218.83972,1
1084.86682,1230.1261,1
1084.96838,1214.60718,1
1084.99963,1090.3877,1
1085.041,1100.19,1
1085.07007,1241.55652,1
1085.28357,1044.77661,1
1085.42834,1165.01331,1
1085.45508,1238.51563,1
1085.58264,1150.12793,1
1085.91748,1146.59424,1
1086.02466,1180.25049,1
1086.06775,1226.04907,1
1086.17993,1144.449,1
1086.20129,1240.16553,1
1086.23608,1216.76855,1
1086.24341,1196.08118,1
1086.42566,1204.10693,1
1086.51257,1220.63782,1
