Ch1 Amplitude,Ch2 Amplitude,Cluster
1001.65729,1009.495,1
1001.69214,1162.78784,1
1004.27661,2952.4397,4
1010.23456,1150.3656,1
1012.93323,1156.07727,1
1014.40112,1167.23267,1
1015.85211,1071.05347,1
1016.56146,1035.71985,1
1019.22876,1089.50012,1
1020.16473,1156.93433,1
1023.49146,1070.6571,1
1025.86572,1041.40613,1
1026.03394,1153.01843,1
1028.32385,1024.44678,1
1033.95117,1211.71338,1
1034.878,1126.90137,1
1035.73816,1244.887,1
1036.955,1086.94678,1
1040.09692,1063.218,1
1040.68652,1094.63159,1
1042.30188,1074.07263,1
1046.10144,1053.88074,1
1046.52844,1279.60986,1
1046.81116,1186.97412,1
1047.43347,1077.64368,1
1049.32092,2874.56348,4
1050.02,1149.19324,1
1050.22571,951.828247,1
1050.26208,1125.23877,1
1051.86035,1061.807,1
1053.44666,1040.339,1
1053.47192,2981.47583,4
1053.63428,1093.67908,1
1053.99561,2999.86914,4
1054.09326,1175.36292,1
1054.1604,1179.42236,1
1056.59692,1218.33289,1
1058.61511,1174.57446,1
1059.23621,1165.5863,1
1059.761,1162.98145,1
1059.80432,1221.09375,1
1060.18884,1240.69336,1
1060.65161,1049.53442,1
1060.66089,1266.67871,1
1062.31653,1286.97,1
1062.878,1083.77026,1
1063.137,1318.94934,1
1063.97058,1181.86353,1
1064.05518,1266.3269,1
1064.1311,1291.99854,1
1064.35632,1106.26758,1
1064.87854,3104.57373,4
1065.75476,1208.69714,1
1066.7019,1223.10266,1
1066.83728,1252.42871,1
1067.381,1162.8938,1
1067.66931,1109.8291,1
1068.10376,1101.27686,1
1068.365,1130.17542,1
1068.743,1068.67969,1
1069.38428,1217.31323,1
1070.32288,1197.35352,1
1070.35925,1107.29016,1
1071.04285,1269.65454,1
1071.07654,1271.59009,1
1073.12756,1201.99243,1
1073.137,1176.4325,1
1073.15088,1086.10352,1
1074.95935,1149.926,1
1075.81274,1108.6637,1
1076.07935,1234.18469,1
1076.24841,1083.58093,1
1076.56,1200.00977,1
1076.75269,1214.0614,1
1077.23181,1173.67944,1
1077.3468,1194.52075,1
1077.48474,2968.4978,4
1077.64612,1181.44617,1
1077.95581,1209.67725,1
1078.64551,1245.83411,1
1078.65247,1274.111,1
1078.7616,1222.26111,1
1079.14148,1184.53418,1
1079.58972,1133.29114,1
1079.60864,1157.66675,1
1079.86536,3069.05566,4
1080.69055,1148.183,1
1080.83533,1134.95691,1
1080.86145,1204.76746,1
1081.2406,1107.07666,1
1082.23914,1132.08191,1
1082.61743,1092.503,1
1082.78821,1270.37012,1
1082.80139,1212.60632,1
1083.425,1142.43628,1
1083.48474,1283.34485,1
1083.59985,1050.8302,1
1083.93542,1210.42456,1
1083.95728,1214.33044,1
1084.184,1127.94788,1
1085.71521,1251.757,1
1085.94592,1234.57153,1
1086.01062,1236.9845,1
1086.14282,1185.21948,1
1086.1936,1247.74048,1
1086.37573,1139.33386,1
1086.4198,1209.12781,1
1086.5835,1162.76208,1
1086.97876,1108.73633,1
1087.11975,1240.3064,1
1087.13074,1134.79639,1
1087.23743,1145.52063,1
1087.3833,1228.90845,1
1087.51428,1174.19666,1
1088.06189,1206.29114,1
1088.09473,1206.24036,1
1088.11816,1160.47888,1
1088.166,1252.37366,1
1088.34644,1139.22424,1
1088.35645,2949.486,4
1088.42773,1189.88965,1
1088.45227,1145.05566,1
1088.48242,1250.27783,1
1088.49976,1173.99792,1
1088.58521,1097.2002,1
1088.61267,1155.41931,1
1088.622,1073.28027,1
1088.85974,1181.577,1
1089.3573,1274.6394,1
1090.25146,1284.76465,1
1090.27393,1126.21692,1
1090.68494,1202.57288,1
1090.82568,1077.5708,1
1091.21155,1206.62939,1
1091.46753,1212.53027,1
1091.49365,1239.31628,1
1091.5752,1192.52588,1
1092.25964,1318.886,1
