Ch1 Amplitude,Ch2 Amplitude,Cluster
1003.12488,1055.03015,1
1018.79187,1118.61609,1
1026.018,1129.968,1
1031.07983,1267.52515,1
1031.61536,1277.743,1
1033.19116,1241.7804,1
1036.647,1061.7594,1
1045.666,1205.43738,1
1048.66479,1081.86963,1
1051.19934,1269.98291,1
1056.80676,1164.34753,1
1057.38428,1021.99426,1
1058.42725,1178.49951,1
1061.58472,3215.547,4
1066.01208,1257.88245,1
1066.76257,1214.43066,1
1068.27966,1087.36438,1
1072.72327,1075.60876,1
1074.2948,1261.2915,1
1076.4801,1213.13452,1
1079.01392,1302.09839,1
1079.69482,1169.33337,1
1081.72791,1060.25952,1
1082.22339,1190.08691,1
1082.79517,1064.92554,1
1084.157,1043.26624,1
1084.46851,1099.7887,1
1084.998,1078.21716,1
1085.16406,1095.40833,1
1085.71167,1092.8197,1
1086.156,1139.81531,1
1087.04785,1191.79382,1
1088.73022,1206.2854,1
1092.19543,1248.4884,1
1092.6156,1264.3855,1
1092.78,1263.94885,1
1093.46667,1271.37976,1
1094.16443,1243.399,1
1094.31177,1281.36658,1
1095.37012,1209.44324,1
1096.28772,1196.20764,1
1097.48584,1190.1189,1
1099.5238,1104.69,1
1100.96265,1297.31946,1
1102.57251,1286.04785,1
1103.31165,1099.98425,1
1103.70483,1200.44,1
1104.17969,1298.11279,1
1104.24133,1192.499,1
1104.61646,1234.44226,1
1105.14417,1227.6366,1
1105.59253,1278.25208,1
1105.89783,1210.54321,1
1106.49561,1232.42847,1
1107.19409,1237.67944,1
1107.67639,1226.5166,1
1107.93811,1232.491,1
1107.99316,1207.60815,1
1108.10376,1149.09143,1
1108.98669,1178.75378,1
1109.75537,1244.63623,1
1109.95361,1254.42676,1
1110.74219,1012.41821,1
1111.18689,2980.30957,4
1111.29993,1174.18054,1
1111.46924,1269.21643,1
1112.72229,1255.18347,1
1113.425,1172.05774,1
1114.37756,1268.538,1
1114.80493,1218.9552,1
1115.02478,1111.38428,1
1115.22351,1240.82141,1
1115.47437,1267.22266,1
1116.69067,1299.88269,1
1116.71887,1266.70923,1
1116.73669,1288.4939,1
1117.04614,1250.37769,1
1117.059,1236.72107,1
1117.24756,1301.79065,1
1117.26746,1236.59668,1
1117.73743,1293.2616,1
1117.93665,1283.81274,1
1118.03772,1194.86719,1
1118.06714,1269.55017,1
1118.08887,1085.79236,1
1118.14038,1290.54956,1
1118.22241,1237.42212,1
1118.251,1293.7793,1
1118.3595,1232.992,1
1118.75757,1220.87866,1
1118.99927,1263.22754,1
1119.05078,1206.344,1
1119.53174,1290.51208,1
1119.54883,1213.86182,1
1119.81409,1236.02319,1
1120.06873,1190.10022,1
1120.10938,1205.12585,1
1120.36145,1332.111,1
1120.37744,1214.92468,1
1120.914,1147.13208,1
1121.37939,1212.12561,1
1122.12671,1109.19128,1
1122.18127,1207.29688,1
1122.23926,1236.68811,1
1122.27332,1339.77783,1
1122.27734,1265.10352,1
1122.48828,1258.74072,1
1122.664,1277.47461,1
1122.73547,1204.83948,1
1122.87244,1290.28479,1
1122.878,1183.30615,1
1123.32361,1218.83582,1
1123.55249,1183.85718,1
1123.63745,1262.59387,1
1123.6449,1179.637,1
1123.865,1302.232,1
1123.92249,1168.615,1
1125.01184,1204.11353,1
1125.01758,1058.74426,1
1125.10645,1211.84631,1
1125.16309,1232.65015,1
1125.34912,1231.6416,1
1125.51,3177.21118,4
1125.75977,1201.57483,1
1125.78552,1229.38245,1
1125.92126,1331.3407,1
1126.41223,1215.60718,1
1126.54211,1234.08813,1
1126.68359,1223.221,1
1126.95093,1250.52051,1
1127.16589,1303.11377,1
1127.22107,1182.93091,1
1127.4574,1208.19543,1
1127.90674,1351.224,1
1128.4657,1194.63672,1
1128.55237,1226.1228,1
1128.77783,1180.62927,1
1128.90991,1297.35278,1
1129.05518,1296.83813,1
1129.07556,1195.47253,1
1129.40674,1300.12854,1
1129.74048,1227.2478,1
1129.86768,1226.51672,1
1130.03528,1228.29907,1
1130.17883,1185.111,1
1130.2821,1245.27148,1
1130.34558,1275.20081,1
1130.48669,1259.16589,1
1130.58545,1112.82312,1
1130.84937,1235.3418,1
1130.97058,1318.037,1
1131.15857,1227.80347,1
1131.22717,1167.17261,1
1131.25256,1252.01465,1
1131.27051,1211.47046,1
1131.42908,1326.44971,1
1131.65454,1265.86035,1
1131.7478,1196.13025,1
1131.84375,1239.27893,1
1132.04724,1136.00464,1
1132.38538,1270.78381,1
1132.46545,1218.60071,1
1132.63623,1318.963,1
1132.90588,1226.71,1
1133.12512,1280.76868,1
1133.15674,1288.82727,1
1133.3335,1220.58289,1
1133.46387,1207.72412,1
1133.67944,1072.82739,1
1133.9436,1276.36121,1
1134.03992,1215.30359,1
1134.10413,1263.86719,1
1134.37659,1247.58374,1
1134.84033,1228.06433,1
1134.92358,1199.14612,1
1134.97766,1175.17371,1
1135.03711,1192.91736,1
1135.37671,1260.406,1
1135.50171,1293.61877,1
1135.69067,1274.15015,1
1135.77136,1250.80261,1
1135.934,1215.08582,1
1135.96118,1190.84729,1
1136.02234,1284.0022,1
1136.17493,1260.85889,1
1136.473,1196.6875,1
1136.62451,1272.3606,1
1136.65991,1254.69238,1
1136.78687,1211.21289,1
1136.8717,1210.47791,1
1136.92151,1264.31262,1
1136.972,1292.71375,1
1136.99976,1223.24207,1
1137.18823,1171.63586,1
1137.2019,1237.61755,1
1137.27539,1216.21619,1
1137.28223,1168.92615,1
1137.28821,1090.36279,1
1137.32068,1285.22168,1
1137.35266,1216.96741,1
1137.36438,1288.9458,1
1137.37964,1228.092,1
1137.40649,1238.38025,1
1137.42969,1341.10425,1
1137.434,1281.87463,1
1137.44434,1193.94861,1
1137.466,1215.63782,1
1137.48218,1213.92151,1
1137.53735,1170.53528,1
1137.57141,1281.45544,1
1137.74707,1030.113,1
1137.88049,1182.49756,1
1137.95557,1228.84265,1
1138.00171,1040.31372,1
1138.09,1280.8512,1
1138.29883,1228.8501,1
1138.52527,1235.42383,1
1138.57312,1290.64758,1
1138.73145,1254.842,1
1138.811,1220.93848,1
1138.979,1301.01611,1
1139.04358,1222.99707,1
1139.11255,1192.36365,1
1139.15845,1240.47754,1
1139.34509,1217.55981,1
1139.371,1123.30164,1
1139.38855,1299.41992,1
1139.71021,1267.01953,1
1139.91162,1174.67749,1
1139.94775,1244.50134,1
1139.98267,1235.312,1
1140.03064,1244.17383,1
1140.276,1130.55286,1
1140.30139,1221.72925,1
1140.31165,1043.41113,1
1140.35242,1273.26062,1
1140.35315,1204.30212,1
1140.35535,1265.908,1
1140.42078,1261.45471,1
1140.42847,1168.09631,1
1140.45142,1209.90173,1
1140.52417,1187.48169,1
1140.68713,1154.61353,1
1140.69958,1208.47241,1
1141.276,1235.28931,1
1141.29675,1297.67139,1
1141.42371,1293.08984,1
1141.48315,1219.65,1
1141.51489,1341.873,1
1141.52808,1258.61157,1
1141.56152,1235.98621,1
1141.60474,1202.15723,1
1141.661,1250.729,1
1141.676,1268.73474,1
1141.67908,1212.367,1
1141.71509,1277.71985,1
1141.802,1219.6969,1
1142.07715,1230.346,1
1142.20581,1190.0896,1
1142.30933,1211.00854,1
1142.30969,1234.20349,1
1142.3407,1299.26782,1
1142.46033,1190.79565,1
1142.47375,1194.5918,1
1142.52258,1220.13464,1
1142.62842,1085.37769,1
1142.878,1213.36047,1
1142.9176,1248.013,1
1143.01477,1257.65063,1
1143.08777,1269.21729,1
1143.089,1275.91455,1
1143.1665,1270.204,1
1143.19946,1248.40723,1
1143.2124,1212.36462,1
1143.32153,1309.05176,1
1143.40161,1281.16663,1
1143.43054,1267.64075,1
1143.46326,1196.98132,1
1143.48022,1280.49841,1
1143.57593,1276.75549,1
1143.6366,1174.15967,1
1143.74866,1281.176,1
1143.81421,1221.4585,1
1143.84827,1175.39844,1
1143.92932,1130.4248,1
1143.97913,1231.73694,1
1144.01343,1238.88159,1
1144.04041,1238.38062,1
1144.04163,1199.28735,1
1144.10034,1142.04053,1
1144.1344,1260.89063,1
1144.17273,1261.71582,1
1144.17834,1327.3894,1
1144.2113,1198.52783,1
1144.23743,1213.719,1
1144.27454,1222.62781,1
1144.28845,1240.06116,1
1144.3562,1196.45593,1
1144.41455,1181.69666,1
1144.50439,1163.92188,1
1144.64063,1248.45117,1
1144.72363,1284.57263,1
1144.75708,3042.09888,4
1144.91064,1228.45032,1
1144.92737,1226.34436,1
1144.93127,1265.542,1
1144.94189,1187.04346,1
1144.95483,1276.94873,1
1145.01306,1184.02869,1
1145.08826,1229.39661,1
1145.12451,1317.00964,1
1145.13525,1156.60059,1
1145.181,1227.43555,1
1145.24182,1136.42,1
1145.3374,1245.554,1
1145.41968,1194.7373,1
1145.45349,1144.28369,1
1145.46533,1180.03882,1
1145.48462,1189.69324,1
1145.49609,1204.23035,1
1145.49658,1192.21155,1
1145.52148,1197.727,1
1145.6,1247.62732,1
1145.632,1272.41968,1
1145.70874,1261.40051,1
1145.88354,1201.62366,1
1145.92163,1267.12476,1
1145.99023,1252.45,1
1146.05762,1226.81189,1
1146.12317,1303.66589,1
1146.279,3078.85156,4
1146.451,1216.46338,1
1146.49683,1217.115,1
1146.56592,1213.20508,1
1146.896,1078.27148,1
1146.96887,1224.41,1
1146.97729,1276.07239,1
1147.0531,1156.95337,1
1147.07312,1202.01685,1
1147.13586,1233.57544,1
1147.17542,1241.697,1
1147.1814,1257.51147,1
1147.18481,1328.07483,1
1147.2196,1241.9845,1
1147.3927,1195.55469,1
1147.40845,1243.77747,1
1147.44678,1215.55945,1
1147.472,1233.12366,1
1147.48389,1146.63818,1
1147.5354,1169.42261,1
1147.64514,1184.8606,1
1147.69409,1218.29138,1
1147.7251,1178.32239,1
1147.7876,1223.38,1
1147.79419,1171.32,1
1148.05957,1220.80652,1
1148.22876,1238.07117,1
1148.236,1250.99365,1
1148.27185,1152.909,1
1148.3241,1307.5354,1
1148.3429,1247.86621,1
1148.38586,1152.19092,1
1148.432,1263.27161,1
1148.46045,1211.04089,1
1148.51648,1181.14978,1
1148.563,1232.29517,1
1148.57813,1229.85291,1
1148.59192,3012.55054,4
1148.61145,1207.61267,1
1148.73193,1202.651,1
1148.85669,1193.95874,1
1148.9292,1233.28516,1
1148.98242,1276.24609,1
1148.99829,1283.70361,1
1149.00842,1126.99219,1
1149.19446,1164.16052,1
1149.20654,1270.65833,1
1149.23474,1241.786,1
1149.36072,1262.06726,1
1149.46631,1263.54578,1
