Ch1 Amplitude,Ch2 Amplitude,Cluster
931.5352,1139.01221,1
958.836243,1099.56836,1
971.043,1140.37915,1
978.723755,1045.52307,1
990.277466,1245.22217,1
1007.22003,1123.44971,1
1010.21106,915.6686,1
1011.05096,1096.32153,1
1014.64545,1141.00842,1
1015.21094,1161.41785,1
1018.34491,1253.47693,1
1020.00037,1103.73975,1
1023.22406,1154.94531,1
1026.44043,1063.49146,1
1027.07129,1021.72034,1
1029.71741,1134.01855,1
1032.515,1246.15991,1
1032.5625,1210.53333,1
1036.80676,1159.6748,1
1037.44836,1069.68054,1
1037.75952,1100.85754,1
1037.83655,1120.35791,1
1037.991,1172.53308,1
1040.91016,1231.69653,1
1044.468,1231.11169,1
1047.36658,1167.36926,1
1047.44873,1208.02673,1
1048.50671,1245.29639,1
1053.82666,1204.831,1
1055.33032,1245.32922,1
1056.19141,1109.83057,1
1058.28723,943.4603,1
1058.491,1171.813,1
1060.56982,1159.50708,1
1062.01843,1109.06311,1
1062.5575,1202.91724,1
1063.45081,1224.89136,1
1064.26489,1249.92139,1
1064.30322,1165.99219,1
1064.98267,1092.64185,1
1066.26221,1158.12451,1
1067.25183,1163.56213,1
1067.72656,1118.29163,1
1067.93408,1186.48682,1
1068.638,1227.176,1
1069.33679,1205.68237,1
1069.99683,1222.43213,1
1071.69031,1167.54163,1
1071.96008,1192.72424,1
1072.1001,1159.71924,1
1072.10254,1261.64832,1
1072.81348,1324.45886,1
1073.0011,1129.74487,1
1073.09412,1019.69244,1
1073.40723,1199.04175,1
1073.72839,1212.9187,1
1075.2627,1181.23962,1
1075.2771,1227.31311,1
1075.52148,1153.35986,1
1075.854,1058.906,1
1076.27417,1248.096,1
1076.667,1067.91016,1
1076.941,1057.11426,1
1076.94458,1007.93835,1
1078.3811,1192.98584,1
1078.77649,1245.15613,1
1079.787,1282.48718,1
1080.14954,1253.44958,1
1080.32361,1189.40955,1
1080.35791,1109.60339,1
1080.426,1157.60278,1
1080.53186,1156.864,1
1080.73621,1221.53027,1
1080.81091,1188.184,1
1081.13586,1153.91724,1
1081.63086,1196.2,1
1081.865,1155.29053,1
1081.98608,1293.937,1
1083.12561,1228.454,1
1083.19006,1204.89929,1
1083.56775,1196.01367,1
1084.11414,1223.35974,1
1084.131,1254.014,1
1084.43762,1225.31616,1
1085.16907,1161.02515,1
1085.26111,1190.38757,1
1085.64063,1176.89819,1
1085.66174,2019.10339,1
1085.92,1213.92273,1
1086.06885,1223.515,1
1087.28027,1131.98828,1
1087.688,1105.395,1
1088.26538,1229.04724,1
1088.296,1231.69727,1
1088.816,1107.64185,1
1089.17993,1072.99951,1
1089.34338,1194.166,1
1089.68042,1095.823,1
1090.20679,1231.31641,1
1090.5105,1192.58191,1
1090.63831,1245.05579,1
1091.04675,1187.27234,1
1091.09509,1192.34424,1
1091.18054,1265.27,1
1091.31042,1160.33716,1
1091.39551,1219.24487,1
1091.983,1175.00708,1
1092.25,1155.11877,1
1093.01526,1217.44324,1
1093.42041,1177.64282,1
1093.7323,1240.0636,1
1093.83313,1140.54553,1
1093.85718,1168.61084,1
1093.90137,1126.89917,1
1093.96631,1139.26172,1
1094.07654,1067.16357,1
1094.4176,1127.84546,1
1094.52441,1248.73853,1
1094.86975,1206.87634,1
1095.16809,1088.83057,1
1095.37378,1195.167,1
1095.51807,1269.10278,1
1096.08679,1199.7915,1
1096.10449,1193.43555,1
1096.17578,1202.07617,1
1096.21387,1145.18884,1
1096.55627,1139.89526,1
1096.82715,1204.353,1
1096.86633,1200.31812,1
1096.94641,1220.17993,1
1097.04846,1213.766,1
1097.102,1197.385,1
1097.14758,1013.37292,1
1097.23425,1246.678,1
1097.35718,1154.852,1
1097.53967,1193.30127,1
1097.8252,1139.37793,1
1098.29919,1190.723,1
1098.46216,1222.16528,1
1098.56885,1205.434,1
1098.60669,1137.68542,1
1098.61877,1215.61646,1
1098.63208,1157.63391,1
1098.75818,1092.01892,1
1099.13293,1198.25073,1
1099.61169,1240.7854,1
1100.19592,1121.963,1
1100.3385,1246.78223,1
1100.61938,1196.52307,1
1100.793,1197.696,1
1101.02722,1098.17322,1
1101.13879,1159.74561,1
1101.46277,1197.232,1
1101.60852,1183.62085,1
1101.7948,1227.55188,1
1101.85791,997.7439,1
1101.971,1197.09277,1
1101.97961,1227.46912,1
1102.02,1224.74219,1
1102.04968,1201.10742,1
1102.05725,1051.289,1
1102.29956,1140.46436,1
1102.34229,1189.5542,1
1102.34473,1237.67749,1
1102.95264,1149.784,1
1103.15015,1183.81738,1
1103.16089,1255.58972,1
1103.21838,1236.67883,1
1103.35437,1149.54761,1
1103.40369,1148.68555,1
1103.45386,1154.80115,1
1103.53149,1178.33276,1
1103.54773,1130.28333,1
1104.17859,1174.72424,1
1104.55884,1184.92358,1
1104.5896,1095.90356,1
1105.03772,1213.39172,1
1105.33728,1152.74841,1
1105.3938,1095.549,1
1105.65186,1122.29956,1
1105.74292,1028.73157,1
1105.85938,1157.157,1
1106.02734,1215.64893,1
1106.29382,1190.6,1
1106.46912,1198.98718,1
1106.51306,1213.63232,1
1106.77966,1238.71826,1
1106.89038,1186.50415,1
1106.97693,1175.1106,1
1107.00513,1173.17261,1
1107.01013,1061.93335,1
1107.08667,1252.37659,1
1107.10217,1168.27917,1
1107.19006,1142.49487,1
1107.316,1138.783,1
1107.663,1154.56384,1
1107.66309,1147.90344,1
1107.75439,1246.676,1
1107.81238,1210.56421,1
1107.96521,1200.04321,1
1107.97314,1216.37939,1
1107.99683,1127.28271,1
1108.03723,1189.45984,1
1108.17847,1175.31213,1
1108.25452,1171.84277,1
1108.25623,1170.726,1
1108.59949,1193.49536,1
1108.94409,1224.43433,1
1108.954,1185.7832,1
1109.06531,1276.34558,1
1109.098,1122.13928,1
1109.2,1221.93567,1
1109.20483,1213.755,1
1109.23035,1188.65125,1
1109.41211,1209.179,1
1109.57312,1164.62366,1
1109.66113,1146.29858,1
1109.71057,1212.14734,1
1110.08533,1106.454,1
1110.11584,1229.69971,1
1110.11621,1165.79688,1
1110.13379,1188.97913,1
1110.333,1110.66284,1
1110.3446,1189.11011,1
1110.38477,1238.35925,1
1110.41162,1165.26318,1
1110.55347,1181.4248,1
1110.62549,1156.89685,1
1110.71094,1213.00891,1
1110.73511,1218.94238,1
1110.77271,1219.94177,1
1110.8844,1132.8949,1
1110.937,1179.59583,1
1110.96313,1141.52185,1
1111.1969,1166.752,1
1111.33179,1167.68274,1
1111.40881,1223.20752,1
1111.42163,1105.66516,1
1111.51221,1309.61877,1
1111.58,1194.30591,1
1111.61719,1144.80054,1
1111.65234,1170.68372,1
1111.68262,1126.857,1
1111.81445,1171.36926,1
1111.82971,1209.16077,1
1111.89917,1192.80371,1
1112.12134,1228.60754,1
1112.35791,1234.98047,1
1112.41565,1217.77783,1
1112.53137,1142.41565,1
1112.579,1199.38721,1
1112.78516,1074.57666,1
1112.829,1275.0177,1
1112.91382,1125.44788,1
1112.91638,1271.3053,1
1113.11353,1205.81433,1
1113.12231,1120.00171,1
1113.21521,1278.8147,1
1113.21887,1183.19324,1
1113.31824,1223.45813,1
1113.36108,2471.908,4
1113.4762,1272.16943,1
1113.47888,1235.836,1
1113.57166,1135.3988,1
1113.699,1202.98755,1
1113.73669,1196.1543,1
1113.831,1147.607,1
1113.8385,1183.86609,1
1114.06763,1221.76819,1
1114.2594,1191.44849,1
1114.60681,1163.87952,1
1114.74463,1254.5083,1
1114.77185,1159.82971,1
1114.87,1258.92456,1
1115.02686,1153.78137,1
1115.20813,1208.69849,1
1115.29053,1181.59741,1
1115.37573,1185.94519,1
1115.5741,1179.152,1
1115.624,1156.03992,1
1115.66943,1135.05237,1
1115.68274,1241.67554,1
1115.863,1182.30322,1
1115.86829,1129.488,1
1115.95459,1179.82385,1
1116.102,1156.41077,1
1116.3064,1180.23438,1
1116.439,1123.77893,1
1116.55176,1230.25623,1
1116.69409,1101.33655,1
1116.96216,1174.88611,1
1117.02271,1165.80371,1
1117.08765,1237.88086,1
1117.10376,1206.15613,1
1117.18335,1257.02893,1
1117.18469,3245.62915,4
1117.21021,1167.59485,1
1117.23254,1167.29529,1
1117.321,1158.98474,1
1117.34143,1073.27112,1
1117.36353,1105.405,1
1117.405,1198.013,1
1117.42542,1218.14185,1
1117.45642,1204.71118,1
1117.47815,1232.3623,1
1117.50574,1180.57788,1
1117.53113,1258.14221,1
1117.58289,1184.73535,1
1117.60034,1203.64319,1
1117.67114,1284.615,1
1117.75208,1217.258,1
1117.759,1124.34656,1
1117.88525,1158.6449,1
1117.95068,1158.01428,1
1118.03027,1190.913,1
1118.10852,1168.33,1
1118.15784,1152.08728,1
1118.17163,1143.4353,1
1118.17188,1186.4303,1
1118.19226,1198.64966,1
1118.21155,1177.24268,1
1118.28333,1169.41382,1
1118.32373,1198.77686,1
1118.6532,1185.09863,1
1118.66748,1212.211,1
1118.76624,1317.501,1
1118.77161,1307.93811,1
1118.96814,1137.93933,1
1119.0343,1249.0741,1
1119.05261,1234.56384,1
1119.09082,1238.06616,1
1119.1405,2957.046,4
1119.236,1250.3053,1
1119.29126,1078.915,1
1119.3938,1229.84534,1
1119.42114,1193.88916,1
1119.48572,1175.29248,1
1119.48657,1245.89282,1
1119.54456,1185.10791,1
1119.5824,1228.65979,1
1119.58911,1161.23718,1
1119.617,1183.25085,1
1119.63879,1216.26807,1
1119.63989,1161.73694,1
1119.66113,1174.57556,1
1119.68555,1212.699,1
1119.70313,1134.05652,1
1119.81445,1228.23,1
1119.89648,1150.107,1
1119.9082,1156.40015,1
1119.91675,1169.41431,1
1119.9436,1143.26965,1
1119.97144,1177.96545,1
1119.97375,1171.058,1
1120.03381,1117.92151,1
1120.11536,1178.472,1
1120.139,1217.15,1
1120.20239,1206.0769,1
1120.27979,1247.41736,1
1120.36157,1131.833,1
1120.39185,1198.64917,1
1120.52075,1224.72815,1
1120.58875,1237.33789,1
1120.59583,1220.39917,1
1120.61584,1234.69263,1
1120.6178,1179.57,1
1120.63342,1191.53271,1
1120.67639,1222.80334,1
1120.72156,1119.32263,1
1120.771,1123.96375,1
1120.82581,1129.33972,1
1121.02417,1196.00134,1
